Name,ISSN,Journal Impact Factor,eISSN
ACTA NUMERICA,0962-4929,14.2,1474-0508
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,14.2,1097-6825
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,14.2,1097-6825
CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,14.2,1469-0691
CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,14.2,1469-0691
Nature Astronomy,2397-3366,14.1,2397-3366
Opto-Electronic Advances,2096-4579,14.1,2096-4579
Alzheimers & Dementia,1552-5260,14,1552-5279
JACC-Cardiovascular Imaging,1936-878X,14,1876-7591
JACC-Cardiovascular Imaging,1936-878X,14,1876-7591
BIOMATERIALS,0142-9612,14,1878-5905
BIOMATERIALS,0142-9612,14,1878-5905
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,0890-6955,14,1879-2170
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,0890-6955,14,1879-2170
Annual Review of Neuroscience,0147-006X,13.9,1545-4126
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,0190-9622,13.8,1097-6787
JAMA Network Open,2574-3805,13.8,2574-3805
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,13.8,1467-7652
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,13.8,1467-7652
Liver Cancer,2235-1795,13.8,1664-5553
Liver Cancer,2235-1795,13.8,1664-5553
TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,13.8,1873-3735
TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,13.8,1362-4326
QUARTERLY JOURNAL OF ECONOMICS,0033-5533,13.7,1531-4650
OPHTHALMOLOGY,0161-6420,13.7,1549-4713
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,13.7,2327-0616
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,13.7,2327-0616
Advances in Methods and Practices in Psychological Science,2515-2459,13.6,2515-2467
Advances in Methods and Practices in Psychological Science,2515-2459,13.6,2515-2467
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,13.6,1533-3450
EUROPEAN JOURNAL OF EPIDEMIOLOGY,0393-2990,13.6,1573-7284
Science Advances,2375-2548,13.6,2375-2548
Big Data Mining and Analytics,N/A,13.6,2096-0654
Big Data Mining and Analytics,N/A,13.6,2096-0654
JOURNAL OF HAZARDOUS MATERIALS,0304-3894,13.6,1873-3336
JOURNAL OF HAZARDOUS MATERIALS,0304-3894,13.6,1873-3336
PROGRESS IN LIPID RESEARCH,0163-7827,13.6,1873-2194
PROGRESS IN LIPID RESEARCH,0163-7827,13.6,1873-2194
TRENDS IN MOLECULAR MEDICINE,1471-4914,13.6,1471-499X
TRENDS IN MOLECULAR MEDICINE,1471-4914,13.6,1471-499X
TRENDS IN MOLECULAR MEDICINE,1471-4914,13.6,1471-499X
AUTOIMMUNITY REVIEWS,1568-9972,13.6,1873-0183
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,13.6,1873-2739
HEPATOLOGY,0270-9139,13.5,1527-3350
REMOTE SENSING OF ENVIRONMENT,0034-4257,13.5,1879-0704
REMOTE SENSING OF ENVIRONMENT,0034-4257,13.5,1879-0704
REMOTE SENSING OF ENVIRONMENT,0034-4257,13.5,1879-0704
JOURNAL OF MANAGEMENT,0149-2063,13.5,1557-1211
JOURNAL OF MANAGEMENT,0149-2063,13.5,1557-1211
JOURNAL OF MANAGEMENT,0149-2063,13.5,1557-1211
PHARMACOLOGY & THERAPEUTICS,0163-7258,13.5,1879-016X
AMERICAN JOURNAL OF BIOETHICS,1526-5161,13.4,1536-0075
AMERICAN JOURNAL OF BIOETHICS,1526-5161,13.4,1536-0075
AMERICAN JOURNAL OF BIOETHICS,1526-5161,13.4,1536-0075
AMERICAN JOURNAL OF BIOETHICS,1526-5161,13.4,1536-0075
Annual Review of Control Robotics and Autonomous Systems,N/A,13.4,2573-5144
Annual Review of Control Robotics and Autonomous Systems,N/A,13.4,2573-5144
Business Strategy and the Environment,0964-4733,13.4,1099-0836
Business Strategy and the Environment,0964-4733,13.4,1099-0836
Business Strategy and the Environment,0964-4733,13.4,1099-0836
Journal of the National Comprehensive Cancer Network,1540-1405,13.4,1540-1413
HUMAN REPRODUCTION UPDATE,1355-4786,13.3,1460-2369
HUMAN REPRODUCTION UPDATE,1355-4786,13.3,1460-2369
Arthritis & Rheumatology,2326-5191,13.3,2326-5205
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,13.3,1527-5418
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,13.3,1527-5418
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,13.3,1527-5418
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,13.3,1527-5418
Materials Horizons,2051-6347,13.3,2051-6355
Materials Horizons,2051-6347,13.3,2051-6355
Small,1613-6810,13.3,1613-6829
Small,1613-6810,13.3,1613-6829
Small,1613-6810,13.3,1613-6829
Small,1613-6810,13.3,1613-6829
Small,1613-6810,13.3,1613-6829
Small,1613-6810,13.3,1613-6829
MEDICINAL RESEARCH REVIEWS,0198-6325,13.3,1098-1128
MEDICINAL RESEARCH REVIEWS,0198-6325,13.3,1098-1128
Autophagy,1554-8627,13.3,1554-8635
Green Energy & Environment,2096-2797,13.3,2468-0257
Green Energy & Environment,2096-2797,13.3,2468-0257
Green Energy & Environment,2096-2797,13.3,2468-0257
Green Energy & Environment,2096-2797,13.3,2468-0257
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725,13.3,1460-2393
ANNALS OF TOURISM RESEARCH,0160-7383,13.2,1873-7722
ANNALS OF TOURISM RESEARCH,0160-7383,13.2,1873-7722
AMERICAN JOURNAL OF KIDNEY DISEASES,0272-6386,13.2,1523-6838
Emerging Microbes & Infections,N/A,13.2,2222-1751
Emerging Microbes & Infections,N/A,13.2,2222-1751
Emerging Microbes & Infections,N/A,13.2,2222-1751
RESOURCES CONSERVATION AND RECYCLING,0921-3449,13.2,1879-0658
RESOURCES CONSERVATION AND RECYCLING,0921-3449,13.2,1879-0658
Review of Asset Pricing Studies,2045-9920,13.1,2045-9939
Lancet Healthy Longevity,2666-7568,13.1,2666-7568
COMPOSITES PART B-ENGINEERING,1359-8368,13.1,1879-1069
COMPOSITES PART B-ENGINEERING,1359-8368,13.1,1879-1069
Journal of Energy Chemistry,2095-4956,13.1,2095-4956
Journal of Energy Chemistry,2095-4956,13.1,2095-4956
Journal of Energy Chemistry,2095-4956,13.1,2095-4956
Journal of Energy Chemistry,2095-4956,13.1,2095-4956
AGEING RESEARCH REVIEWS,1568-1637,13.1,1872-9649
AGEING RESEARCH REVIEWS,1568-1637,13.1,1872-9649
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,0165-9936,13.1,1879-3142
Polymer Reviews,1558-3724,13.1,1558-3716
JACC-Heart Failure,2213-1779,13,2213-1787
CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,13,1879-0305
CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,13,1879-0305
Biofuel Research Journal-BRJ,2292-8782,13,2292-8782
Analytic Methods in Accident Research,2213-6657,12.9,2213-6665
Analytic Methods in Accident Research,2213-6657,12.9,2213-6665
IEEE WIRELESS COMMUNICATIONS,1536-1284,12.9,1558-0687
IEEE WIRELESS COMMUNICATIONS,1536-1284,12.9,1558-0687
IEEE WIRELESS COMMUNICATIONS,1536-1284,12.9,1558-0687
IEEE WIRELESS COMMUNICATIONS,1536-1284,12.9,1558-0687
JOURNAL OF MARKETING,0022-2429,12.9,1547-7185
ACS Catalysis,2155-5435,12.9,2155-5435
Computer Science Review,1574-0137,12.9,1876-7745
Computer Science Review,1574-0137,12.9,1876-7745
Computer Science Review,1574-0137,12.9,1876-7745
Energy Material Advances,2097-1133,12.9,2692-7640
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,12.9,1098-5557
Energy Economics,0140-9883,12.8,1873-6181
Engineering,2095-8099,12.8,2096-0026
WATER RESEARCH,0043-1354,12.8,1879-2448
WATER RESEARCH,0043-1354,12.8,1879-2448
WATER RESEARCH,0043-1354,12.8,1879-2448
CLINICAL PSYCHOLOGY REVIEW,0272-7358,12.8,1873-7811
JOURNAL OF AUTOIMMUNITY,0896-8411,12.8,1095-9157
Blood Cancer Journal,2044-5385,12.8,2044-5385
Blood Cancer Journal,2044-5385,12.8,2044-5385
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,12.8,1096-8652
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,12.8,2092-6413
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,12.8,2092-6413
ACTA NEUROPATHOLOGICA,0001-6322,12.7,1432-0533
ACTA NEUROPATHOLOGICA,0001-6322,12.7,1432-0533
ACTA NEUROPATHOLOGICA,0001-6322,12.7,1432-0533
Tourism Management,0261-5177,12.7,1879-3193
Tourism Management,0261-5177,12.7,1879-3193
Tourism Management,0261-5177,12.7,1879-3193
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,12.7,1872-8235
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,12.7,1872-8235
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,12.7,1872-8235
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,12.7,1872-8235
Bone Research,2095-4700,12.7,2095-6231
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,12.7,1541-0048
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,12.7,1541-0048
Biochar,2524-7972,12.7,2524-7867
Biochar,2524-7972,12.7,2524-7867
JOURNAL OF MEDICAL VIROLOGY,0146-6615,12.7,1096-9071
Small Science,2688-4046,12.7,2688-4046
Small Science,2688-4046,12.7,2688-4046
JOURNAL OF ECONOMIC LITERATURE,0022-0515,12.6,2328-8175
Perspectives on Psychological Science,1745-6916,12.6,1745-6924
Clinical Gastroenterology and Hepatology,1542-3565,12.6,1542-7714
BIOSENSORS & BIOELECTRONICS,0956-5663,12.6,1873-4235
BIOSENSORS & BIOELECTRONICS,0956-5663,12.6,1873-4235
BIOSENSORS & BIOELECTRONICS,0956-5663,12.6,1873-4235
BIOSENSORS & BIOELECTRONICS,0956-5663,12.6,1873-4235
BIOSENSORS & BIOELECTRONICS,0956-5663,12.6,1873-4235
Translational Neurodegeneration,2047-9158,12.6,2047-9158
Environmental Science and Ecotechnology,2666-4984,12.6,2666-4984
Environmental Science and Ecotechnology,2666-4984,12.6,2666-4984
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,12.6,1547-6537
Physical Review X,2160-3308,12.5,2160-3308
Annual Review of Pharmacology and Toxicology,0362-1642,12.5,1545-4304
Annual Review of Pharmacology and Toxicology,0362-1642,12.5,1545-4304
SUSTAINABLE DEVELOPMENT,0968-0802,12.5,1099-1719
SUSTAINABLE DEVELOPMENT,0968-0802,12.5,1099-1719
SUSTAINABLE DEVELOPMENT,0968-0802,12.5,1099-1719
TECHNOVATION,0166-4972,12.5,1879-2383
TECHNOVATION,0166-4972,12.5,1879-2383
TECHNOVATION,0166-4972,12.5,1879-2383
Journal of Hospitality Marketing & Management,1936-8623,12.5,1936-8631
Journal of Hospitality Marketing & Management,1936-8623,12.5,1936-8631
Journal of Hospitality Marketing & Management,1936-8623,12.5,1936-8631
MOLECULAR THERAPY,1525-0016,12.4,1525-0024
MOLECULAR THERAPY,1525-0016,12.4,1525-0024
MOLECULAR THERAPY,1525-0016,12.4,1525-0024
Theranostics,1838-7640,12.4,1838-7640
Annual Review of Nuclear and Particle Science,0163-8998,12.4,1545-4134
Annual Review of Nuclear and Particle Science,0163-8998,12.4,1545-4134
ALLERGY,0105-4538,12.4,1398-9995
ALLERGY,0105-4538,12.4,1398-9995
JOURNAL OF SERVICE RESEARCH,1094-6705,12.4,1552-7379
Annual Review of Biophysics,1936-122X,12.4,1936-1238
CELL DEATH AND DIFFERENTIATION,1350-9047,12.4,1476-5403
CELL DEATH AND DIFFERENTIATION,1350-9047,12.4,1476-5403
Annual Review of Food Science and Technology,1941-1413,12.4,1941-1421
Small Methods,2366-9608,12.4,2366-9608
Small Methods,2366-9608,12.4,2366-9608
Small Methods,2366-9608,12.4,2366-9608
GENOME BIOLOGY,1474-760X,12.3,1474-760X
GENOME BIOLOGY,1474-760X,12.3,1474-760X
Genome Medicine,1756-994X,12.3,1756-994X
IEEE Transactions on Industrial Informatics,1551-3203,12.3,1941-0050
IEEE Transactions on Industrial Informatics,1551-3203,12.3,1941-0050
IEEE Transactions on Industrial Informatics,1551-3203,12.3,1941-0050
CLINICAL AND EXPERIMENTAL HYPERTENSION,1064-1963,12.3,1525-6006
CLINICAL AND EXPERIMENTAL HYPERTENSION,1064-1963,12.3,1525-6006
Journal of Public Transportation,1077-291X,12.2,2375-0901
Gut Microbes,1949-0976,12.2,1949-0984
Gut Microbes,1949-0976,12.2,1949-0984
Journal of Physiotherapy,1836-9553,12.1,1836-9561
Journal of Physiotherapy,1836-9553,12.1,1836-9561
Sustainable Production and Consumption,2352-5509,12.1,2352-5509
Sustainable Production and Consumption,2352-5509,12.1,2352-5509
Sustainable Production and Consumption,2352-5509,12.1,2352-5509
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,12.1,1878-6642
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,12.1,1878-6642
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,12.1,1878-6642
EARTH-SCIENCE REVIEWS,0012-8252,12.1,1872-6828
Annual Review of Animal Biosciences,2165-8102,12,2165-8110
Annual Review of Animal Biosciences,2165-8102,12,2165-8110
Annual Review of Animal Biosciences,2165-8102,12,2165-8110
Annual Review of Animal Biosciences,2165-8102,12,2165-8110
COMPUTERS & EDUCATION,0360-1315,12,1873-782X
COMPUTERS & EDUCATION,0360-1315,12,1873-782X
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625,12,1873-5509
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625,12,1873-5509
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,0925-5273,12,1873-7579
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,0925-5273,12,1873-7579
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,0925-5273,12,1873-7579
Travel Medicine and Infectious Disease,1477-8939,12,1873-0442
Travel Medicine and Infectious Disease,1477-8939,12,1873-0442
ARTIFICIAL INTELLIGENCE REVIEW,0269-2821,12,1573-7462
PROGRESS IN SOLID STATE CHEMISTRY,0079-6786,12,1873-1643
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,11.9,1941-0034
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,11.9,1941-0034
eTransportation,2590-1168,11.9,2590-1168
eTransportation,2590-1168,11.9,2590-1168
eTransportation,2590-1168,11.9,2590-1168
Journal of Materials Chemistry A,2050-7488,11.9,2050-7496
Journal of Materials Chemistry A,2050-7488,11.9,2050-7496
Journal of Materials Chemistry A,2050-7488,11.9,2050-7496
NATURAL PRODUCT REPORTS,0265-0568,11.9,1460-4752
NATURAL PRODUCT REPORTS,0265-0568,11.9,1460-4752
NATURAL PRODUCT REPORTS,0265-0568,11.9,1460-4752
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,11.9,1440-1819
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,11.9,1440-1819
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,11.9,1440-1819
General Psychiatry,2096-5923,11.9,2517-729X
International Journal of Mining Science and Technology,2095-2686,11.8,2212-6066
CLINICAL INFECTIOUS DISEASES,1058-4838,11.8,1537-6591
CLINICAL INFECTIOUS DISEASES,1058-4838,11.8,1537-6591
CLINICAL INFECTIOUS DISEASES,1058-4838,11.8,1537-6591
IEEE Transactions on Cybernetics,2168-2267,11.8,2168-2275
IEEE Transactions on Cybernetics,2168-2267,11.8,2168-2275
IEEE Transactions on Cybernetics,2168-2267,11.8,2168-2275
DEVELOPMENTAL CELL,1534-5807,11.8,1878-1551
DEVELOPMENTAL CELL,1534-5807,11.8,1878-1551
JOURNAL OF INTERACTIVE MARKETING,1094-9968,11.8,1520-6653
ENVIRONMENT INTERNATIONAL,0160-4120,11.8,1873-6750
IEEE-CAA Journal of Automatica Sinica,2329-9266,11.8,2329-9274
EMERGING INFECTIOUS DISEASES,1080-6040,11.8,1080-6059
EMERGING INFECTIOUS DISEASES,1080-6040,11.8,1080-6059
CANCER TREATMENT REVIEWS,0305-7372,11.8,1532-1967
Annual Review of Ecology Evolution and Systematics,1543-592X,11.8,1545-2069
Annual Review of Ecology Evolution and Systematics,1543-592X,11.8,1545-2069
International Journal of Hospitality Management,0278-4319,11.7,1873-4693
Journal of Sport and Health Science,2095-2546,11.7,2213-2961
Journal of Sport and Health Science,2095-2546,11.7,2213-2961
Educational Research Review,1747-938X,11.7,1878-0385
Pulmonology,2531-0437,11.7,2531-0437
Sustainable Cities and Society,2210-6707,11.7,2210-6715
Sustainable Cities and Society,2210-6707,11.7,2210-6715
Sustainable Cities and Society,2210-6707,11.7,2210-6715
Physics of Life Reviews,1571-0645,11.7,1873-1457
Physics of Life Reviews,1571-0645,11.7,1873-1457
Nano Convergence,2196-5404,11.7,2196-5404
Nano Convergence,2196-5404,11.7,2196-5404
Nano Convergence,2196-5404,11.7,2196-5404
PROGRESS IN QUANTUM ELECTRONICS,0079-6727,11.7,1873-1627
PROGRESS IN QUANTUM ELECTRONICS,0079-6727,11.7,1873-1627
PROGRESS IN QUANTUM ELECTRONICS,0079-6727,11.7,1873-1627
PROGRESS IN QUANTUM ELECTRONICS,0079-6727,11.7,1873-1627
GLOBAL CHANGE BIOLOGY,1354-1013,11.6,1365-2486
GLOBAL CHANGE BIOLOGY,1354-1013,11.6,1365-2486
GLOBAL CHANGE BIOLOGY,1354-1013,11.6,1365-2486
PLANT CELL,1040-4651,11.6,1532-298X
PLANT CELL,1040-4651,11.6,1532-298X
PLANT CELL,1040-4651,11.6,1532-298X
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506,11.6,1478-6990
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506,11.6,1478-6990
DRUGS,0012-6667,11.5,1179-1950
DRUGS,0012-6667,11.5,1179-1950
CLINICAL CANCER RESEARCH,1078-0432,11.5,1557-3265
Materials Today Physics,2542-5293,11.5,2542-5293
Materials Today Physics,2542-5293,11.5,2542-5293
Reviews in Fisheries Science & Aquaculture,2330-8249,11.5,2330-8257
JAMA Health Forum,2689-0186,11.5,2689-0186
JAMA Health Forum,2689-0186,11.5,2689-0186
JAMA Health Forum,2689-0186,11.5,2689-0186
Communication Methods and Measures,1931-2458,11.4,1931-2466
Earth System Science Data,1866-3508,11.4,1866-3516
Earth System Science Data,1866-3508,11.4,1866-3516
HUMAN RESOURCE MANAGEMENT REVIEW,1053-4822,11.4,1873-7889
CEMENT AND CONCRETE RESEARCH,0008-8846,11.4,1873-3948
CEMENT AND CONCRETE RESEARCH,0008-8846,11.4,1873-3948
LEUKEMIA,0887-6924,11.4,1476-5551
LEUKEMIA,0887-6924,11.4,1476-5551
Redox Biology,2213-2317,11.4,2213-2317
Journal of Integrative Plant Biology,1672-9072,11.4,1744-7909
Journal of Integrative Plant Biology,1672-9072,11.4,1744-7909
EMBO JOURNAL,0261-4189,11.4,1460-2075
EMBO JOURNAL,0261-4189,11.4,1460-2075
BIORESOURCE TECHNOLOGY,0960-8524,11.4,1873-2976
BIORESOURCE TECHNOLOGY,0960-8524,11.4,1873-2976
BIORESOURCE TECHNOLOGY,0960-8524,11.4,1873-2976
npj Clean Water,2059-7037,11.4,2059-7037
npj Clean Water,2059-7037,11.4,2059-7037
npj Clean Water,2059-7037,11.4,2059-7037
ACS Materials Letters,N/A,11.4,2639-4979
TRENDS IN GENETICS,0168-9525,11.4,1362-4555
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,11.4,1520-5851
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,11.4,1520-5851
MEDICAL JOURNAL OF AUSTRALIA,0025-729X,11.4,1326-5377
Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,11.4,1759-0884
Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,11.4,1759-0884
Review of Corporate Finance Studies,2046-9128,11.3,2046-9136
JACC-Cardiovascular Interventions,1936-8798,11.3,1876-7605
Journal of Business Research,0148-2963,11.3,1873-7978
Nature Computational Science,N/A,11.3,2662-8457
Nature Computational Science,N/A,11.3,2662-8457
Nature Computational Science,N/A,11.3,2662-8457
Annual Review of Virology,2327-056X,11.3,2327-0578
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,N/A,11.3,1756-9966
PSYCHIATRY RESEARCH,0165-1781,11.3,1872-7123
PSYCHIATRY RESEARCH,0165-1781,11.3,1872-7123
Biomaterials Research,1226-4601,11.3,2055-7124
Biomaterials Research,1226-4601,11.3,2055-7124
Annual Review of Cell and Developmental Biology,1081-0706,11.3,1530-8995
Annual Review of Cell and Developmental Biology,1081-0706,11.3,1530-8995
FEMS MICROBIOLOGY REVIEWS,0168-6445,11.3,1574-6976
REVIEW OF EDUCATIONAL RESEARCH,0034-6543,11.2,1935-1046
ANNALS OF NEUROLOGY,0364-5134,11.2,1531-8249
ANNALS OF NEUROLOGY,0364-5134,11.2,1531-8249
IEEE COMMUNICATIONS MAGAZINE,0163-6804,11.2,1558-1896
IEEE COMMUNICATIONS MAGAZINE,0163-6804,11.2,1558-1896
Carbohydrate Polymers,0144-8617,11.2,1879-1344
Carbohydrate Polymers,0144-8617,11.2,1879-1344
Carbohydrate Polymers,0144-8617,11.2,1879-1344
Blood Cancer Discovery,2643-3230,11.2,2643-3249
Blood Cancer Discovery,2643-3230,11.2,2643-3249
Satellite Navigation,2662-9291,11.2,2662-1363
Satellite Navigation,2662-9291,11.2,2662-1363
Satellite Navigation,2662-9291,11.2,2662-1363
CCS Chemistry,N/A,11.2,2096-5745
CANCER RESEARCH,0008-5472,11.2,1538-7445
IEEE Transactions on Affective Computing,1949-3045,11.2,1949-3045
IEEE Transactions on Affective Computing,1949-3045,11.2,1949-3045
APPLIED ENERGY,0306-2619,11.2,1872-9118
APPLIED ENERGY,0306-2619,11.2,1872-9118
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,11.2,1879-2561
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,11.2,1879-2561
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,11.2,1879-2561
Trends in Environmental Analytical Chemistry,2214-1588,11.2,2214-1588
Trends in Environmental Analytical Chemistry,2214-1588,11.2,2214-1588
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,11.1,1091-6490
EMBO Molecular Medicine,1757-4676,11.1,1757-4684
EBioMedicine,2352-3964,11.1,2352-3964
BULLETIN OF THE WORLD HEALTH ORGANIZATION,0042-9686,11.1,1564-0604
International Journal of Contemporary Hospitality Management,0959-6119,11.1,1757-1049
International Journal of Contemporary Hospitality Management,0959-6119,11.1,1757-1049
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,11.1,1095-9084
JOURNAL OF INTERNAL MEDICINE,0954-6820,11.1,1365-2796
JACC: CardioOncology,2666-0873,11.1,2666-0873
JACC: CardioOncology,2666-0873,11.1,2666-0873
Journal of Cleaner Production,0959-6526,11.1,1879-1786
Journal of Cleaner Production,0959-6526,11.1,1879-1786
Journal of Cleaner Production,0959-6526,11.1,1879-1786
Biomarker Research,N/A,11.1,2050-7771
Biomarker Research,N/A,11.1,2050-7771
Annual Review of Genetics,0066-4197,11.1,1545-2948
REVIEWS IN MEDICAL VIROLOGY,1052-9276,11.1,1099-1654
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,11,1468-330X
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,11,1468-330X
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,11,1468-330X
ISME Journal,1751-7362,11,1751-7370
ISME Journal,1751-7362,11,1751-7370
MOLECULAR PSYCHIATRY,1359-4184,11,1476-5578
MOLECULAR PSYCHIATRY,1359-4184,11,1476-5578
MOLECULAR PSYCHIATRY,1359-4184,11,1476-5578
Laser & Photonics Reviews,1863-8880,11,1863-8899
Laser & Photonics Reviews,1863-8880,11,1863-8899
Laser & Photonics Reviews,1863-8880,11,1863-8899
Additive Manufacturing,2214-8604,11,2214-7810
Additive Manufacturing,2214-8604,11,2214-7810
Protection and Control of Modern Power Systems,2367-2617,11,2367-0983
Protection and Control of Modern Power Systems,2367-2617,11,2367-0983
Research,2096-5168,11,2639-5274
JOURNAL OF BIOMEDICAL SCIENCE,1021-7770,11,1423-0127
JOURNAL OF BIOMEDICAL SCIENCE,1021-7770,11,1423-0127
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,11,1879-0348
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,11,1879-0348
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,11,1879-0348
Transactions of the Association for Computational Linguistics,N/A,10.9,2307-387X
Transactions of the Association for Computational Linguistics,N/A,10.9,2307-387X
Transactions of the Association for Computational Linguistics,N/A,10.9,2307-387X
JAMA Dermatology,2168-6068,10.9,2168-6084
MEDICAL IMAGE ANALYSIS,1361-8415,10.9,1361-8423
MEDICAL IMAGE ANALYSIS,1361-8415,10.9,1361-8423
MEDICAL IMAGE ANALYSIS,1361-8415,10.9,1361-8423
MEDICAL IMAGE ANALYSIS,1361-8415,10.9,1361-8423
Journal of Materials Science & Technology,1005-0302,10.9,1941-1162
Journal of Materials Science & Technology,1005-0302,10.9,1941-1162
Journal for ImmunoTherapy of Cancer,N/A,10.9,2051-1426
Journal for ImmunoTherapy of Cancer,N/A,10.9,2051-1426
CARBON,0008-6223,10.9,1873-3891
CARBON,0008-6223,10.9,1873-3891
Experimental Hematology & Oncology,N/A,10.9,2162-3619
Experimental Hematology & Oncology,N/A,10.9,2162-3619
Environmental Science & Technology Letters,2328-8930,10.9,N/A
Environmental Science & Technology Letters,2328-8930,10.9,N/A
TRENDS IN ENDOCRINOLOGY AND METABOLISM,1043-2760,10.9,1879-3061
ACTA PHYSICO-CHIMICA SINICA,1000-6818,10.9,N/A
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,0161-4940,10.9,1520-5703
Annual Review of Political Science,1094-2939,10.8,1545-1577
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,10.8,1532-7957
CARDIOVASCULAR RESEARCH,0008-6363,10.8,1755-3245
International Journal of Antimicrobial Agents,0924-8579,10.8,1872-7913
International Journal of Antimicrobial Agents,0924-8579,10.8,1872-7913
International Journal of Antimicrobial Agents,0924-8579,10.8,1872-7913
Globalization and Health,N/A,10.8,1744-8603
Globalization and Health,N/A,10.8,1744-8603
JOURNAL OF CONTROLLED RELEASE,0168-3659,10.8,1873-4995
JOURNAL OF CONTROLLED RELEASE,0168-3659,10.8,1873-4995
